Chamber Assembly,CHM-002,Advanced chamber body,1,Titanium,Vendor A,12000,14,High,External,A.1,3D Printing, Welding,SEMI S123,Helium Leak Test,Provided by vendor,1,180,Custom crate,RoHS, REACH,Safety interlocks during maintenance
Lid Assembly,LID-002,Lid for high-pressure chamber,1,Stainless Steel,Vendor B,6000,10,Medium,External,A.1,CNC Machining,SEMI S456,Visual Inspection,Provided by vendor,1,60,Custom packaging,RoHS, REACH,Safety interlocks during lid opening
Gas Delivery System,GDS-002,Upgraded gas distribution manifold,1,Inconel,Vendor C,9000,12,Medium,External,A.2,Precision Machining,SEMI S789,Leak Test,Provided by vendor,2,40,Custom crate,RoHS, REACH,
Plasma Source Assembly,PSA-002,RF Generator and Magnetron Assembly,1,Titanium, Aluminum,Vendor D,22000,16,High,External,A.3,Integration of Components,SEMI S234,Electrical Tests,Provided by vendor,2,120,Custom packaging,RoHS, REACH,Safety interlocks during operation
Wafer Handling System,WHS-002,Advanced Robot arm and wafer chuck,1,Carbon Fiber, Ceramic,Vendor E,18000,18,High,External,A.1,Robotic Assembly,SEMI S567,Functional Tests,Provided by vendor,2,50,Custom crate,RoHS, REACH,Safety interlocks during handling
Ion Source Assembly,ISA-003,Enhanced Ion source for plasma etching,1,Titanium,Vendor F,20000,15,Medium,External,B.1,Laser Cutting, Assembly,SEMI S890,Mass Spectrometry Test,Provided by vendor,2,90,Custom packaging,RoHS, REACH,Safety interlocks during operation
Cooling System,CS-003,Advanced closed-loop coolant system,1,Stainless Steel,Vendor G,14000,12,Medium,External,A.2,CNC Machining,SEMI S678,Pressure Test,Provided by vendor,1,70,Custom crate,RoHS, REACH,
Power Supply Unit,PSU-003,Improved High-voltage power supply,1,Copper, Silicon,Vendor H,28000,20,High,External,A.1,Electronic Assembly,SEMI S345,Electrical Safety Tests,Provided by vendor,2,140,Custom packaging,RoHS, REACH,Safety interlocks during maintenance
Gas Purification System,GPS-003,Advanced Gas purification and filtration,1,Polypropylene,Vendor I,17000,14,Medium,External,A.1,Filtration and Purification,SEMI S456,Gas Purity Analysis,Provided by vendor,1,55,Custom crate,RoHS, REACH,
Temperature Control Unit,TCU-003,Precision temperature control with liquid cooling,1,Inconel,Vendor J,23000,16,High,External,B.2,Thermoelectric Cooling,SEMI S789,Temperature Stability Test,Provided by vendor,2,100,Custom packaging,RoHS, REACH,Safety interlocks during operation
Etching Chamber,EC-003,Specialized chamber for silicon etching process,1,Quartz,Vendor K,25000,18,High,External,A.3,Quartz Fabrication,SEMI S234,Visual Inspection,Provided by vendor,2,110,Custom packaging,RoHS, REACH,Safety interlocks during operation
Vacuum System,VS-003,High-efficiency vacuum system,1,Stainless Steel,Vendor L,32000,22,High,External,B.1,Vacuum Technology,SEMI S567,Vacuum Integrity Test,Provided by vendor,2,160,Custom crate,RoHS, REACH,Safety interlocks during operation
Plasma Control Unit,PCU-003,Enhanced Control system for plasma parameters,1,Electronic Components,Vendor M,16000,14,Medium,External,A.1,Electronic Assembly,SEMI S345,Electrical Tests,Provided by vendor,1,80,Custom packaging,RoHS, REACH,Safety interlocks during operation
Gas Flow Management System,GFMS-003,Optimized System for controlling gas flow rates,1,Stainless Steel,Vendor N,18000,16,Medium,External,A.2,Flow Rate Calibration,SEMI S678,Gas Flow Stability Test,Provided by vendor,1,60,Custom crate,RoHS, REACH,
Wafer Loading System,WLS-003,Advanced System for loading wafers into chamber,1,Aluminum Alloy,Vendor O,12000,12,Medium,External,B.2,Automated Loading,SEMI S567,Robotic Tests,Provided by vendor,1,35,Custom packaging,RoHS, REACH,Safety interlocks during handling
Plasma Diagnostics Module,PDM-003,Next-gen Diagnostic tools for monitoring plasma,1,Various,Vendor P,30000,24,High,External,A.3,Integration of Diagnostics,SEMI S234,Diagnostics Performance Test,Provided by vendor,2,130,Custom packaging,RoHS, REACH,Safety interlocks during operation
Control Software System,CSS-003,Advanced Software system for process control,1,Software,Vendor Q,10000,12,High,External,A.1,Software Development,ISO 9001,Software Testing,Provided by vendor,1,-,Digital delivery,RoHS, REACH,-
